starting Router #0 with parameters:
Relay server host name: localhost
Relay server port number: 8888
Routing update intwerval: 1000 (milli-seconds)
send Hello (0->100) []
recv Hello (100->0) [0, 999, 10, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (2->0) [4, 2, 0, 1]
recv Route (3->0) [3, 1, 1, 0]
send Route (0->2) [0, 4, 4, 3]
send Route (0->3) [0, 4, 4, 3]
recv Route (100->0) [0, 999, 1, 3]
link cost changed: Route (100->0) [0, 999, 1, 3]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
recv Route (2->0) [1, 2, 0, 1]
recv Route (3->0) [2, 1, 1, 0]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
send Route (0->2) [0, 3, 1, 2]
send Route (0->3) [0, 3, 1, 2]
send Route (0->2) [0, 3, 1, 2]
Router terminated normally

Routing Table at Router #0
-------------------------
  mincost[0] = 0 via 0
  mincost[1] = 3 via 2
  mincost[2] = 1 via 2
  mincost[3] = 2 via 2
-------------------------
